company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Consulting Virtual Hardware,764,7,58823,61231,281710,103022,528572,20551,212410,484226,93949,17080,12652,864555,194591,666,3976165,153,1,0
Bell Application Venture,738,7,92728,108527,281710,47081,449087,256978,181703,1178423,3803,69517,5818,934849,196635,601,29980082,80,1,0
Studio Graphics Net,646,5,84884,108527,30373,22084,86779,306576,209513,590092,63085,109166,6910,624952,138365,680,22880416,163,1,1
Innovation Source Building,567,7,96291,109083,281710,47109,449048,256941,181648,1178427,3780,69540,5850,934746,196625,649,27669701,97,1,0
Network East Studio,469,7,69608,129696,403576,15357,370797,109708,147312,621193,45826,64475,11034,643174,93039,399,71624388,73,1,1
Hardware Internet Universal,771,7,103509,64242,217535,111292,294292,249845,244799,921559,59016,71333,7930,900228,267268,553,7625752,54,1,0
Analysis Hardware Speed,386,7,64573,90576,217535,71660,68080,287366,87009,916938,137440,96650,16934,514115,125953,534,8455887,58,1,1
Virtual Analysis Bell,3459,7,79922,118349,281710,27344,169931,86664,10284,325499,87061,68396,18173,294223,256260,991,1137850,59,1,1
People Max Bell,3459,7,16200,120137,34603,75287,365016,262650,173875,565166,55540,30866,16194,876828,36516,1055,44540851,138,1,1
Galaxy Graphics Innovation,718,7,171904,20007,34603,19547,457885,69705,61881,1107389,94863,43743,11329,609018,173525,1077,13122457,128,1,1
Advanced Bell Consulting,718,7,171904,20007,211646,122132,328330,276015,172244,776912,15205,27288,2222,898721,173525,1077,13122457,128,1,1
South Hardware Star,330,7,48769,131637,403576,15343,370760,109691,147238,621196,45795,64479,11035,643032,92977,338,70193544,74,1,1
Systems Software People,330,7,150613,131637,167592,104166,418735,324575,24267,1064691,132204,100569,19271,871743,195504,752,19019563,81,1,1
Solutions Venture Building,375,5,138596,131637,454427,71802,258638,87103,91216,1178053,141777,6961,1531,508759,81534,785,36653891,98,1,1
Medicine Industries Internet,528,7,134462,131637,403576,36723,61625,337210,190537,989878,67613,39992,20105,626095,125401,320,2485784,65,1,1
Galaxy Telecom Advanced,528,7,34974,6721,442174,53966,343582,26274,191117,1016583,135539,10733,7578,614939,163646,960,11349945,63,1,1
Electronics Virtual Building,605,7,74161,34359,281710,85031,157469,53958,126294,660261,140032,1710,9652,422752,259275,754,2571537,159,1,1
Contract Max Net,751,7,126837,34359,403576,76420,494794,29667,235459,568889,63562,63519,16856,836340,108251,1083,7066378,41,1,1
Internet Technology Max,751,7,30174,32151,360146,14939,574626,293655,187642,1189048,72685,75715,13068,1070862,146726,623,44466983,42,1,1
Industries South Data,627,7,171746,32151,225721,114121,568077,87110,157979,660269,141778,52442,9683,927287,240904,1072,30337698,100,1,1
Technology Research Graphics,5824,7,68846,44172,281710,116328,34007,184169,64199,51843,30990,54217,8522,398703,97038,817,29100972,125,1,1
Star Galaxy Federated,929,7,41404,67107,281710,102952,528563,20571,212422,484276,93942,17079,12585,864508,194576,624,3948155,135,1,0
Consulting Universal Resource,267,7,69432,38126,34603,101313,342426,29781,241368,345654,62425,21331,9976,714888,74976,972,3458411,45,1,1
Digital Hill Studio,621,7,30245,62702,281710,102983,528575,20557,212384,484283,94015,17078,12627,864499,194634,696,4145352,105,1,0
Frontier Star Electronics,1286,5,105517,62702,30373,22073,86762,306588,209555,590078,63103,109188,6883,624978,138411,592,23298728,151,1,1
Power Star Internet,1252,7,34580,107779,167592,63335,277653,44327,79344,436474,139741,76774,13460,464659,262483,823,435802,171,1,1
Frontier Studio Innovation,309,7,110933,21116,449206,30004,353045,276029,37431,776923,132346,104800,9378,696509,214479,355,5791512,58,1,1
Alpha Direct Frontier,309,7,11372,128338,34603,75289,365019,262592,173874,565141,55527,30814,16200,876774,36464,975,42651228,93,1,1
Venture Graphics Net,734,7,15429,17434,291340,57537,486540,266618,136204,222504,93303,9910,2187,946899,220833,812,43690264,132,1,1
Innovation Construction Electronic,1012,7,82431,108176,121123,25557,234807,180033,190092,65927,72249,66439,11580,630489,169091,929,35275704,121,1,1
Resource People Star,1072,7,64940,99031,217535,71727,68091,287358,86986,916901,137470,96658,16953,514162,125882,550,8263791,57,1,1
Pacific Atlantic Virtual,1567,7,76869,99031,403576,7310,494754,13826,184131,222862,57086,103170,14371,700021,130321,593,4695717,135,0,1
Internet Solutions Bell,366,7,38897,77479,360146,68294,82409,169093,180071,425463,72141,70635,14706,499867,194303,581,21630444,103,1,1
Max Source Architecture,555,7,139253,94622,360146,71175,82417,9214,44993,745971,141869,68760,19290,207799,61909,898,39884228,15,0,0
Advanced Graphics East,555,7,27891,118655,34603,75271,365003,262635,173846,565144,55529,30842,16221,876755,36553,1053,43493145,93,1,1
Alpha Speed Frontier,238,7,48477,131910,403576,15342,370770,109694,147304,621178,45850,64460,11025,643110,93018,408,58132395,79,1,1
Electronics Source Industries,266,7,94921,62246,217535,111294,294281,249875,244781,921582,59032,71305,7906,900231,267254,544,6750087,58,1,0
Studio Electronics Interactive,266,7,41926,41518,360146,14931,574574,293697,187595,1188995,72659,75672,13053,1070797,146784,526,46941168,74,1,1
Interactive Graphics Federated,266,7,17524,50525,449206,47194,428087,109712,41838,341509,1159521,16682,17176,626831,106423,412,25148635,94,1,1
Solutions East Provider,950,7,125318,94921,196511,2129,439315,122263,56512,545811,38779,17471,19713,620219,135114,164,47690688,72,1,0
Building Pacific Consulting,748,7,182149,7829,34603,19553,457882,69667,61901,1107440,94789,43771,11321,609003,173533,1050,14802894,103,1,1
Architecture Telecom Venture,264,7,103815,7829,121123,37443,91554,202860,57271,980021,12231,61611,18675,389128,217407,527,29768099,126,1,1
Hill Technology Pacific,795,7,57057,116065,167592,63405,277694,44311,79339,436511,139733,76801,13412,464749,262525,936,131235,163,1,1
Future North Electronics,795,7,15201,52667,449206,47172,428121,109728,41812,341548,1159560,16640,17174,626833,106382,423,30393054,77,1,1
Construction Solutions Medicine,334,3,169734,40079,196511,100226,338998,204929,20855,1157910,38822,9409,5689,665008,147372,445,11443807,58,1,1
Telecom Studio Hardware,334,7,45912,9448,442174,54010,343637,26232,191146,1016601,135594,10724,7576,615025,163683,979,9197268,81,1,1
Power Pacific Star,1055,7,40184,61670,281710,103023,528624,20532,212448,484242,93988,17098,12630,864627,194564,719,4210802,84,1,0
Architecture Omega Contract,596,7,164513,90188,360146,71169,82427,9192,45012,745966,141824,68762,19287,207800,62040,981,39029817,48,0,0
Pacific Virtual Direct,819,3,175050,43344,196511,100275,338946,204914,20799,1157976,38772,9382,5661,664934,147304,491,11974822,66,1,1
East Venture Internet,433,7,150329,43344,9795,113354,317144,78593,92381,202175,99158,77464,19122,601472,92421,796,12588979,114,1,0
Omega Software Frontier,568,7,178437,118891,192313,103328,566334,114251,237609,377039,120172,73700,12606,1021522,250470,340,22916063,117,1,1
Electronic Source Future,934,7,160258,115057,192313,103388,566288,114263,237584,377035,120189,73710,12611,1021523,250412,268,27692404,116,1,1
Innovation Telecom Solutions,198,7,95953,56737,217535,111256,294260,249857,244748,921593,58982,71361,7939,900121,267205,563,7630374,74,1,0
Medicine Source Speed,799,5,121397,56737,9795,112015,116186,118983,63079,1077001,10165,23211,5061,410263,74204,606,64651304,146,1,1
Advanced Direct Studio,891,5,104713,56737,30373,22077,86782,306543,209509,590095,63090,109199,6947,624911,138359,671,29713015,124,1,1
Bell Direct Telecom,837,3,148048,47298,196511,100218,338946,204907,20835,1157979,38840,9381,5633,664906,147325,426,8931896,74,1,1
Hardware Research South,837,7,34729,24449,140849,47435,215833,321399,90259,385947,8921,59219,13372,674926,261795,1109,17197481,172,1,1
Research Technology Alpha,420,7,84326,107937,127292,99155,113897,20472,197275,1029547,15063,11414,12047,430799,201200,327,15284766,57,1,1
Research Max Innovation,556,7,46663,117271,76796,9751,93070,179266,75546,841326,69441,40162,999,357633,261954,479,14356620,120,1,1
Industries Building Omega,669,7,143833,89748,360146,71184,82439,9175,45001,745942,141805,68772,19283,207799,61939,965,35242194,69,0,0
Source Electronics Industries,669,7,143833,89748,211646,122132,328309,276057,172192,776972,15210,27234,2180,898690,61939,965,35242194,69,0,0
Graphics Telecom Industries,669,7,103545,27375,232796,38768,432995,340514,76830,849209,79931,15819,16450,889107,66754,820,10269795,76,1,1
Design Telecom Alpha,1341,7,81308,27375,403576,7317,494772,13799,184080,222848,57064,103185,14410,699968,130341,615,8596895,67,0,1
Electronics Direct Adventure,1113,7,79745,27375,403576,7289,494794,13802,184094,222806,57125,103174,14406,699979,130268,633,5425865,86,0,1
Bell South Speed,834,7,94746,82763,206317,61793,340031,320718,56550,984538,98068,63864,4334,779092,152976,844,14688813,23,1,1
Star Graphics Analysis,5326,7,87476,54021,281710,116331,34021,184176,64196,51789,30996,54219,8530,398724,96992,784,30228833,99,1,1
Design Industries Solutions,154,7,113539,108897,281710,47102,449049,256963,181650,1178446,3761,69575,5863,934764,196641,698,29540895,128,1,0
Architecture Net Signal,368,7,53550,66706,281710,102974,528566,20557,212421,484220,93982,17078,12594,864518,194549,669,5322081,84,1,0
North Innovation Application,868,6,160479,53106,402157,22244,502799,20481,175891,412649,6762,89845,17315,721415,131385,411,-540320,30,1,1
Interactive Internet Federated,748,7,40577,71782,360146,68294,82455,169105,180080,425482,72169,70621,14737,499934,194276,552,20511166,126,1,1
Digital West Data,720,7,74046,101646,121123,25544,234840,179978,190096,65928,72245,66434,11528,630458,168975,878,34834848,75,1,1
South Max Venture,675,7,52632,107848,76796,9770,93050,179253,75564,841342,69448,40101,1016,357637,262006,449,16398078,86,1,1
Solutions Frontier Bell,794,3,165182,39884,196511,100233,338932,204895,20838,1157916,38825,9351,5690,664898,147385,484,9410338,49,1,1
Analysis Bell Design,541,7,77830,31642,360146,16573,76260,40759,39187,194161,101420,2060,3754,172779,89968,549,4024687,58,1,1
Alpha Adventure Application,781,5,98543,31642,30373,22077,86737,306570,209564,590110,63110,109200,6893,624948,138393,625,31632005,155,1,1
Star Power Construction,585,7,87079,100605,121123,25530,234766,179990,190157,65978,72216,66426,11543,630443,168956,1008,29624857,91,1,1
Interactive People General,266,7,58297,51216,34603,101241,342396,29756,241403,345655,62419,21338,9929,714796,74949,953,4747134,57,1,1
Construction Alpha Net,931,7,85194,132043,19576,1367,560342,71888,233524,776096,61014,89701,2572,867121,243473,619,5967868,84,1,1
Galaxy West General,791,5,124293,132043,454427,71833,258634,87137,91200,1178058,141750,6923,1498,508804,81550,738,36808072,65,1,1
Building Hardware Studio,791,7,124293,132043,211646,122134,328308,276057,172252,776904,15215,27299,2222,898751,81550,738,36808072,65,1,1
Bell Hardware Innovation,791,7,96212,132043,454427,70595,167293,324811,105328,1036703,29234,72843,8346,668027,217945,496,14416979,120,1,1
East Network Alpha,689,7,60695,104702,76796,9758,93061,179266,75557,841338,69464,40131,1015,357642,261991,490,20349417,117,1,1
Net Interactive Electronic,1132,7,98315,104702,403576,7286,494802,13809,184092,222802,57097,103218,14349,699989,130314,708,6157278,108,0,1
People General Pacific,632,7,133143,104702,403576,36690,61663,337216,190485,989891,67628,39976,20072,626054,125325,331,2173799,53,1,1
Industries Architecture North,1067,7,156408,115909,192313,103352,566291,114321,237593,377054,120216,73688,12621,1021557,250451,319,24909651,118,1,1
Power Star Consulting,746,7,71343,2534,211646,122120,328329,276053,172260,776928,15214,27280,2201,898762,105595,845,16211224,102,1,1
Architecture Contract Analysis,612,7,66613,124853,403576,15296,370759,109733,147260,621175,45802,64466,11037,643048,93001,377,61006802,47,1,1
Research Signal Software,604,5,126632,124853,454427,71856,258628,87115,91187,1178060,141727,6929,1517,508786,81539,746,42672077,57,1,1
Speed Application Bell,590,7,54377,33239,360146,85052,157520,53999,126280,660271,140030,1745,9714,422851,259221,763,2463457,106,1,1
Resource Solutions Network,133,7,60114,29151,360146,16569,76249,40743,39175,194171,101415,2032,3764,172736,89942,630,7601179,44,1,1
People Design Speed,960,5,124868,29151,9795,111960,116202,118995,63115,1076965,10152,23161,5031,410272,74252,683,78355704,153,1,1
Electronics Systems Atlantic,419,5,145532,29151,454427,71855,258637,87121,91200,1178051,141762,6921,1544,508813,81559,745,37763842,47,1,1
Advanced Provider Pacific,461,7,19212,73335,360146,68255,82414,169088,180093,425451,72165,70666,14743,499850,194273,510,20279144,175,1,1
Atlantic Star Application,799,5,101216,73335,30373,22072,86798,306579,209536,590118,63091,109126,6880,624985,138367,658,25201269,153,1,1
Electronics Data Atlantic,3112,7,64410,116664,281710,27369,169938,86636,10238,325520,87024,68410,18174,294181,256220,921,1262011,55,1,1
Resource Galaxy Hill,870,7,161608,116664,225721,114142,568058,87076,158020,660255,141758,52400,9674,927296,240913,1035,34225378,59,1,1
Software Direct Electronics,441,5,123665,116664,454427,71858,258668,87073,91207,1178102,141746,6975,1553,508806,81610,737,37919453,56,1,1
Interactive Max Galaxy,249,7,92613,116664,19576,59470,177330,236739,168204,661050,54678,89456,17160,641743,99775,408,66166341,81,1,1
Speed Direct Hill,249,7,42184,41628,360146,14905,574586,293641,187643,1189048,72634,75717,13010,1070775,146731,649,47124930,42,1,1
Max Galaxy Internet,1315,7,63483,107826,76796,9710,93044,179297,75583,841328,69475,40168,965,357634,261960,454,15447649,99,1,1
Data Architecture Atlantic,1483,7,147940,25768,281710,25201,441252,146641,119352,254121,7322,112692,5303,732446,79653,718,36958243,130,1,0
Studio Provider Star,759,7,164968,93183,360146,71187,82417,9146,44990,745956,141857,68773,19326,207740,61973,959,29403775,71,0,0
South Resource Analysis,302,7,179610,119103,192313,103369,566273,114268,237614,377042,120189,73718,12614,1021524,250502,256,26694673,165,1,1
Medicine Electronics Virtual,334,7,68617,41692,281710,85087,157528,53985,126309,660230,140072,1739,9682,422909,259234,648,3546188,126,1,1
Hardware Analysis Power,334,7,178186,41692,423722,82029,327025,261852,201086,1174447,141041,90594,19621,871992,246160,544,9632465,99,1,1
Contract Resource Omega,241,3,95012,41692,196511,49281,322513,204941,236544,1189578,111418,89821,2634,813279,123919,642,11471985,106,1,0
Virtual Industries North,241,7,6558,118939,34603,75259,364972,262639,173887,565134,55519,30837,16160,876757,36463,1059,43478795,113,1,1
Signal Universal Signal,353,7,109738,19595,449206,29994,353076,276002,37448,776926,132347,104787,9339,696520,214478,373,6493108,83,1,1
Data West Universal,353,7,171939,19595,423722,82009,327010,261869,201082,1174462,141032,90631,19626,871970,246082,636,11670074,124,1,1
Virtual Hardware Building,353,7,26734,43835,360146,14918,574575,293698,187647,1189025,72631,75701,13047,1070838,146671,569,48446617,61,1,1
Hill Star Frontier,802,7,184248,43835,225721,114108,568101,87070,158026,661086,141728,52402,9664,927305,240860,1055,25847614,86,1,1
Analysis Design Studio,802,7,184248,43835,211646,122154,328275,276018,172247,776914,15225,27243,2225,898694,240860,1055,25847614,86,1,1
Future Net Bell,261,7,20934,43835,76796,95129,442606,34014,59060,785116,74747,9857,15909,630809,143387,818,6425216,47,1,0
Technology Star Contract,595,1,125664,43835,211646,98761,151765,34018,219665,1106760,15195,57471,18544,504209,87172,1052,9452105,93,1,1
Frontier North Virtual,931,7,93595,101717,281710,47087,449031,256958,181679,1178445,3750,69551,5870,934755,196599,604,26656942,142,1,0
Consulting Signal West,931,7,171728,101717,423722,82003,327041,261872,201112,1174474,141059,90607,19652,872028,246127,559,9128294,104,1,1
Building Network Frontier,907,7,54872,38276,281710,85040,157476,53985,126271,660232,140087,1708,9670,422772,259270,737,2354492,124,1,1
Architecture Vision Internet,907,7,26119,122597,34603,75215,365004,262620,173906,565171,55498,30844,16176,876745,36429,1138,42428895,124,1,1
Medicine Design Telecom,1038,7,178943,121656,192313,103351,566306,114299,237624,377009,120233,73705,12613,1021580,250380,230,32465802,112,1,1
Provider People Net,755,7,168400,13738,34603,19537,457916,69699,61928,1107435,94847,43796,11308,609080,173511,1229,11902688,74,1,1
Design Venture Pacific,694,7,63890,120593,19576,1320,560387,71879,233536,776137,60999,89743,2538,867122,243489,627,4211877,115,1,1
People Design North,694,7,63890,120593,211646,122149,328285,276043,172218,776912,15178,27297,2237,898695,243489,627,4211877,115,1,1
Network Adventure Direct,647,7,8909,16815,291340,57479,486577,266633,136206,222485,93310,9924,2174,946895,220860,947,43839677,159,1,1
Design Pacific Universal,871,1,29143,97289,449206,50161,547772,109749,198596,497610,18223,72490,13305,906278,274214,678,38567683,102,1,1
Analysis Telecom Source,1184,7,49805,109996,76796,9710,93046,179295,75552,841326,69482,40098,966,357603,261895,427,13546143,69,1,1
Net Research Bell,1771,7,58015,79198,281710,116303,342286,161235,127504,255291,8759,63165,16217,747328,160388,833,26650023,56,1,1
Galaxy Direct Source,749,6,161175,50105,402157,22209,502790,20459,175893,412599,6773,89905,17345,721351,131418,389,2069091,0,1,1
Architecture Hardware Virtual,673,5,132137,50105,454427,71806,258676,87130,91202,1178086,141780,6919,1548,508814,81555,752,39191747,35,1,1
Hardware Bell Application,329,7,54122,69034,281710,103002,528556,20590,212418,484257,93951,17075,12636,864566,194576,722,5003856,117,1,0
Consulting People Innovation,1534,7,113852,85197,196511,2141,439322,122254,56488,545787,38786,17508,19736,620205,135037,229,47015303,82,1,0
Max Power West,1143,5,116267,85197,454427,112001,116238,87071,63075,1076969,141743,23169,5056,378385,74259,669,76383138,138,1,1
Application Building Source,3544,7,62294,119374,281710,27331,169932,86657,10280,325503,87046,68423,18180,294200,256227,979,977576,58,1,1
Direct Max Research,3544,7,43897,7311,442174,54018,343628,26246,191110,1016646,135556,10687,7565,615002,163651,833,9009180,59,1,1
Internet Application Application,212,7,14748,5968,291340,57521,486602,266631,136213,222501,93316,9912,2146,946967,220834,951,41997399,163,1,1
Electronic Alpha West,1145,7,96992,5968,403576,7333,494765,13775,184133,222840,57101,103176,14369,700006,130258,710,2379985,57,0,1
Speed North Building,1222,7,113034,86838,196511,2154,439317,122294,56548,545779,38845,17463,19711,620313,135144,158,56822689,105,1,0
Net Technology East,444,7,82241,75518,206317,61747,340000,320732,56500,984575,98065,63855,4398,778979,152987,835,14374602,81,1,1
Future Construction Atlantic,684,7,134346,75518,403576,76411,494805,29663,235461,568946,63585,63551,16843,836340,108181,1143,8904387,41,1,1
Venture Electronic Architecture,684,7,114961,86468,403576,54435,231293,196602,25166,238682,63374,69886,13592,507496,54646,445,39719376,23,1,1
Venture South Innovation,192,7,113610,58909,217535,111314,294232,249893,244789,921610,58972,71366,7906,900228,267258,514,6108848,99,1,0
Internet Architecture Interactive,1350,5,137499,58909,454427,111985,116213,87093,63095,1077017,141774,23159,5034,378386,74234,642,75216996,107,1,1
Virtual Atlantic Pacific,920,7,90558,24032,281710,64110,316468,133244,27331,1189470,73750,78098,17946,541153,164537,765,5483352,94,1,1
Power Pacific Technology,213,5,137484,24032,454427,71837,258645,87067,91218,1178084,141779,6920,1536,508767,81567,815,35700791,61,1,1
Application Construction Telecom,267,7,92563,108414,281710,47114,449063,256992,181648,1178447,3759,69528,5833,934817,196625,736,28818621,93,1,0
Medicine Speed Signal,425,7,88799,16233,449206,29996,353111,276044,37398,776911,132315,104810,9356,696549,214413,369,6973518,50,1,1
Federated Adventure Direct,256,7,86200,73365,206317,61741,340029,320700,56543,984543,98012,63855,4406,779013,153033,886,13078066,37,1,1
Future Provider Vision,402,7,72181,29448,360146,85075,157476,54007,126260,660240,140022,1723,9691,422818,259302,686,3490317,154,1,1
Net Internet Consulting,567,7,119945,29448,403576,36683,61664,337217,190535,989836,67647,39960,20075,626099,125318,311,1550740,29,1,1
Medicine South Universal,567,7,97690,23991,232796,38830,432976,340540,76868,849150,79974,15850,16489,889214,66778,717,10359452,82,1,1
Innovation Pacific Contract,425,7,61418,29050,281710,85080,157468,53952,126247,660219,140033,1745,9649,422747,259293,729,4469290,152,1,1
Application Software Vision,1502,7,119368,27150,281710,25143,441228,146641,119312,254149,7328,112737,5311,732324,79719,688,33521368,110,1,0
Speed Interactive General,568,7,97712,16253,449206,29975,353103,276049,37456,776919,132298,104766,9374,696583,214471,309,9042212,74,1,1
Network Internet Virtual,5775,7,79662,53480,281710,116331,34014,184175,64179,51800,31012,54206,8570,398699,96972,789,35035384,106,1,1
Universal Network Research,837,1,33689,107736,449206,50125,547810,109690,198602,497591,18196,72489,13311,906227,274236,636,37975587,91,1,1
Design West Frontier,837,7,96734,107736,454427,70587,167265,324820,105359,1036740,29232,72814,8386,668031,217899,527,14537730,142,1,1
Solutions Research Atlantic,257,7,51544,37938,34603,101293,342428,29724,241394,345647,62458,21387,9968,714839,74924,1054,5713810,84,1,1
Innovation Analysis Electronic,578,7,13280,37938,76796,95115,442589,34074,59033,785121,74758,9818,15950,630811,143413,730,495711,80,1,0
Technology West Virtual,3148,7,81799,118389,281710,27335,169946,86642,10265,325505,87061,68390,18147,294188,256320,972,1038557,78,1,1
Electronics Power Systems,917,7,48022,122257,403576,15339,370807,109691,147312,621187,45816,64471,11062,643149,93064,481,60830656,95,1,1
Future Construction Venture,143,7,44029,75252,360146,68314,82398,169090,180035,425467,72154,70596,14747,499837,194280,497,18222890,146,1,1
Star Provider Systems,275,6,139117,54911,402157,22239,502784,20442,175906,412611,6807,89918,17325,721371,131370,378,416111,43,1,1
Building Hardware Signal,800,7,44541,113967,76796,9770,93068,179252,75553,841350,69473,40136,1012,357643,262010,461,16261756,63,1,1
Construction Application Software,465,7,161982,123046,192313,103369,566316,114289,237591,377001,120191,73709,12625,1021565,250388,253,31667394,136,1,1
Provider Atlantic Vision,894,7,155088,123046,403576,76432,494818,29628,235413,568902,63577,63562,16859,836291,108205,1199,14963644,55,1,1
Pacific Telecom Technology,1250,7,35329,114732,167592,63367,277699,44345,79383,436469,139749,76765,13427,464794,262506,884,593815,154,1,1
Consulting Net Adventure,414,7,57091,127013,403576,15306,370800,109689,147293,621234,45829,64449,11012,643088,92961,361,70557001,30,1,1
Resource Application Source,793,7,62859,46367,34603,101244,342420,29780,241415,345610,62438,21330,9968,714859,74949,1030,2250084,26,1,1
North Max Construction,1208,7,65118,73742,281710,116261,342235,161265,127491,255327,8721,63162,16199,747252,160373,705,24212164,58,1,1
Medicine Studio Future,261,7,36697,18456,291340,57514,486595,266581,136224,222530,93346,9886,2134,946914,220832,883,48486281,109,1,1
Contract Software Direct,581,7,78407,38142,360146,85055,157496,54010,126253,660252,140031,1744,9703,422814,259207,740,944639,149,1,1
Architecture Universal Digital,955,7,161271,38142,225721,114157,568062,87069,158021,661082,141757,52434,9703,927309,240923,1002,27944094,104,1,1
Hill Technology Research,1176,5,94628,38142,30373,22101,86753,306529,209503,590098,63131,109126,6931,624886,138337,583,25346704,135,1,1
Max Universal Contract,1176,7,40215,24307,140849,47427,215804,321373,90262,385984,8983,59200,13379,674866,261775,1135,18302579,103,1,1
Bell Building Medicine,158,7,67181,27531,360146,16558,76265,40743,39200,194107,101430,2069,3774,172766,89943,579,7203943,36,1,1
East Future Consulting,741,7,90801,22195,449206,30036,353087,53947,37428,660258,132311,104814,9357,474498,214491,342,6842093,24,1,1
Signal Electronics Federated,689,7,133329,22195,403576,36683,61650,337233,190540,989865,67655,39969,20118,626106,125399,356,2235193,53,1,1
Galaxy South Graphics,1055,5,125645,22195,9795,112030,116237,118985,63095,1076981,10151,23210,5079,410347,74248,695,66028506,104,1,1
Universal Digital Frontier,930,7,154483,22195,225721,114138,568048,87116,158033,661061,141727,52445,9664,927335,240899,944,32737014,50,1,1
Construction Adventure Net,531,7,114778,102791,281710,47119,449039,256964,181721,1178425,3736,69570,5837,934843,196659,702,35475031,110,1,0
Vision Future Studio,924,7,73929,25103,360146,16554,76266,40744,39197,194167,101407,2007,3726,172761,89917,573,7998816,67,1,1
Medicine Technology Interactive,391,7,167252,25103,225721,114151,568066,87123,157963,661117,141718,52389,9695,927303,240872,1003,25848842,55,1,1
Hardware Source Digital,459,3,157083,42241,196511,100223,338966,204944,20819,1157941,38817,9374,5655,664952,147310,482,13666397,64,1,1
Software Analysis Source,330,7,63687,42629,360146,85069,157532,53993,126261,660263,140023,1737,9674,422855,259249,652,2298751,113,1,1
Source Atlantic People,445,3,73074,42629,196511,49236,322495,204898,236522,1189562,111417,89814,2567,813151,123934,797,8571468,94,1,0
Graphics Federated General,351,7,25892,13256,291340,57518,486594,266611,136222,222458,93313,9908,2116,946945,220810,869,48190192,137,1,1
Data Galaxy West,425,7,69937,132131,19576,1339,560356,71890,233578,776081,61046,89758,2524,867163,243450,686,3452595,72,1,1
Frontier Federated Data,425,7,71209,132131,454427,70614,167247,324789,105300,1036720,29276,72795,8338,667950,217877,507,15040505,143,1,1
Systems Solutions Consulting,686,7,181483,17073,34603,19542,457917,69664,61928,1107426,94840,43758,11305,609051,173522,1068,16323786,106,1,1
Solutions Advanced Design,686,7,40667,36819,360146,14906,574595,293676,187591,1188998,72661,75719,13031,1070768,146730,597,49601697,6,1,1
Alpha Studio Source,686,7,43306,35929,360146,14962,574568,293707,187606,1188981,72638,75685,13076,1070843,146667,539,43313606,16,1,1
Advanced Interactive Star,675,3,78154,35929,196511,49242,322524,204898,236479,1189581,111423,89855,2564,813143,123918,745,10590576,83,1,0
Max Technology Star,889,7,164647,11850,34603,19593,457913,69712,61905,1107450,94796,43759,11275,609123,173495,1232,9013515,96,1,1
Systems Signal West,846,6,155852,51534,402157,22256,502811,20431,175901,412644,6811,89916,17352,721399,131419,266,2068612,29,1,1
Vision Industries Source,870,5,93466,51534,30373,22085,86769,306523,209568,590070,63103,109166,6895,624945,138378,669,26710789,162,1,1
Network Provider Hill,180,7,100857,16953,449206,30000,353087,276016,37452,776947,132355,104768,9351,696555,214465,393,5874429,60,1,1
Innovation Virtual Architecture,58,1,137009,16953,211646,98700,151778,34065,219686,1106763,15194,57441,18500,504229,87119,1085,11060522,90,1,1
Architecture Analysis Innovation,880,7,59300,39334,281710,85066,157529,53973,126308,660234,140071,1741,9647,422876,259240,753,402362,126,1,1
Digital Consulting Systems,263,7,52003,35567,20214,80378,502356,229193,78412,733701,130411,21199,13026,890339,86750,853,32701462,43,1,1
Technology South Electronics,366,7,100798,35567,19576,59478,177327,236742,168160,661085,54680,89476,17140,641707,99793,393,59209529,134,1,1
Software Federated Advanced,366,7,119521,83897,403576,54450,231244,196557,25171,238730,63389,69873,13596,507422,54678,391,37807518,46,1,1
Systems Solutions Frontier,366,7,33819,4564,442174,54001,343654,26208,191096,1016611,135612,10747,7597,614959,163744,837,10510645,71,1,1
North Research Solutions,825,7,145409,4564,403576,76470,494808,29680,235449,568884,63560,63551,16863,836407,108128,1114,17539448,25,1,1
Interactive Hardware South,496,7,45767,93753,217535,71681,68142,287358,86967,916963,137418,96639,16986,514148,125831,567,8034899,93,1,1
Construction East Innovation,908,7,61649,40265,360146,85067,157491,54011,126300,660264,140073,1716,9647,422869,259286,684,2841413,149,1,1
Network Industries Speed,1322,7,52407,115155,167592,63371,277690,44275,79349,436495,139760,76733,13400,464685,262533,828,623849,141,1,1
East Research Design,672,5,141932,115155,454427,71814,258653,87136,91176,1178054,141731,6929,1487,508779,81551,737,38089041,60,1,1
Source Resource North,945,7,172081,115155,225721,114136,568081,87076,157971,661070,141724,52390,9712,927264,240913,1084,31085866,58,1,1
Industries East Design,1941,7,150976,71987,423722,19279,467964,340751,38973,1155401,21505,86441,20798,866967,137338,75,15630865,104,1,1
Telecom Galaxy Data,160,7,107903,71987,19576,59464,177304,236740,168187,661081,54656,89481,17128,641695,99709,328,57231025,115,1,1
Interactive Atlantic Analysis,524,7,14238,71987,76796,95093,442610,34033,59000,785111,74758,9828,15912,630736,143397,746,3460496,44,1,0
